Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1500;Kg;1750;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;50;Kg;150;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;12000;Kg;12000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;6000;Kg;6000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;500;Kg;1600;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;150;Kg;500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;300;Kg;531;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1000;Kg;3000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;4200;Kg;5460;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1000;Kg;1400;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;450;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1800;Kg;4500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;200;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Madeira;120;Unidade;18000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;2500;Kg;8000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;4000;Kg;10000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;18000;Kg;75000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;120000;Kg;36000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;23450;Kg;117250;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;36000;Kg;144000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;13200;Kg;32400;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;17000;Kg;93500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;3000;Kg;12000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;135000;Kg;229500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;20000;Kg;10000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;3000;Kg;9000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;17000;Kg;85000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;30000;Kg;24000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;50000;Kg;208000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;3200;Kg;5664;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;3000;Kg;13500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;2400;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;27000;Kg;162000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;4200;Kg;16800;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;2000;Kg;10000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1000;Kg;4000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;45000;Kg;79650;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;30000;Kg;120000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;600;Kg;498;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;18000;Kg;63000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;42000;Kg;168000;;;
